time	FADEC_LA_Corrected_N2_Speed
09:12:30:029	0.0
09:12:30:091	0.0
09:12:30:154	0.0
09:12:30:216	0.0
09:12:30:279	0.0
09:12:30:341	0.0
09:12:30:404	0.0
09:12:30:466	0.0
09:12:30:529	0.0
09:12:30:591	0.0
09:12:30:654	0.0
09:12:30:716	0.0
09:12:30:779	0.0
09:12:30:841	0.0
09:12:30:904	0.0
09:12:30:966	0.0
09:12:31:029	0.0
09:12:31:091	0.0
09:12:31:154	0.0
09:12:31:216	0.0
09:12:31:279	0.0
09:12:31:341	0.0
09:12:31:404	0.0
09:12:31:466	0.0
09:12:31:529	0.0
09:12:31:591	0.0
09:12:31:654	0.0
09:12:31:716	0.0
09:12:31:779	0.0
09:12:31:841	0.0
09:12:31:904	0.0
09:12:31:966	0.0
09:12:32:029	0.0
09:12:32:091	0.0
09:12:32:154	0.0
09:12:32:216	0.0
09:12:32:279	0.0
09:12:32:341	0.0
09:12:32:404	0.0
09:12:32:466	0.0
09:12:32:529	0.0
09:12:32:591	0.0
09:12:32:654	0.0
09:12:32:716	0.0
09:12:32:779	0.0
09:12:32:841	0.0
09:12:32:904	0.0
09:12:32:966	0.0
09:12:33:029	0.0
09:12:33:091	0.0
09:12:33:154	0.0
09:12:33:216	0.0
09:12:33:279	0.0
09:12:33:341	0.0
09:12:33:404	0.0
09:12:33:466	0.0
09:12:33:529	0.0
09:12:33:591	0.0
09:12:33:654	0.0
09:12:33:716	0.0
09:12:33:779	0.0
09:12:33:841	0.0
09:12:33:904	0.0
09:12:33:966	0.0
09:12:34:029	0.0
09:12:34:091	0.0
09:12:34:154	0.0
09:12:34:216	0.0
09:12:34:279	0.0
09:12:34:341	0.0
09:12:34:404	0.0
09:12:34:466	0.0
09:12:34:529	0.0
09:12:34:591	0.0
09:12:34:654	0.0
09:12:34:716	0.0
09:12:34:779	0.0
09:12:34:841	0.0
09:12:34:904	0.0
09:12:34:966	0.0
09:12:35:029	0.0
09:12:35:091	0.0
09:12:35:154	0.0
09:12:35:216	0.0
09:12:35:279	0.0
09:12:35:341	0.0
09:12:35:404	0.0
09:12:35:466	0.0
09:12:35:529	0.0
09:12:35:591	0.0
09:12:35:654	0.0
09:12:35:716	0.0
09:12:35:779	0.0
09:12:35:841	0.0
09:12:35:904	0.0
09:12:35:966	0.0
09:12:36:029	0.0
09:12:36:091	0.0
09:12:36:154	0.0
09:12:36:216	0.0
09:12:36:279	0.0
09:12:36:341	0.0
09:12:36:404	0.0
09:12:36:466	0.0
09:12:36:529	0.0
09:12:36:591	0.0
09:12:36:654	0.0
09:12:36:716	0.0
09:12:36:779	0.0
09:12:36:841	0.0
09:12:36:904	0.0
09:12:36:966	0.0
09:12:37:029	0.0
09:12:37:091	0.0
09:12:37:154	0.0
09:12:37:216	0.0
09:12:37:279	0.0
09:12:37:341	0.0
09:12:37:404	0.0
09:12:37:466	0.0
09:12:37:529	0.0
09:12:37:591	0.0
09:12:37:654	0.0
09:12:37:716	0.0
09:12:37:779	0.0
09:12:37:841	0.0
09:12:37:904	0.0
09:12:37:966	0.0
09:12:38:029	0.0
09:12:38:091	0.0
09:12:38:154	0.0
09:12:38:216	0.0
09:12:38:279	0.0
09:12:38:341	0.0
09:12:38:404	0.0
09:12:38:466	0.0
09:12:38:529	0.0
09:12:38:591	0.0
09:12:38:654	0.0
09:12:38:716	0.0
09:12:38:779	0.0
09:12:38:841	0.0
09:12:38:904	0.0
09:12:38:966	0.0
09:12:39:029	0.0
09:12:39:091	0.0
09:12:39:154	0.0
09:12:39:216	0.0
09:12:39:279	0.0
09:12:39:341	0.0
09:12:39:404	0.0
09:12:39:466	0.0
09:12:39:529	0.0
09:12:39:591	0.0
09:12:39:654	0.0
09:12:39:716	0.0
09:12:39:779	0.0
09:12:39:841	0.0
09:12:39:904	0.0
09:12:39:966	0.0
09:12:40:029	0.0
09:12:40:091	0.0
09:12:40:154	0.0
09:12:40:216	0.0
09:12:40:279	0.0
09:12:40:341	0.0
09:12:40:404	0.0
09:12:40:466	0.0
09:12:40:529	0.0
09:12:40:591	0.0
09:12:40:654	0.0
09:12:40:716	0.0
09:12:40:779	0.0
09:12:40:841	0.0
09:12:40:904	0.0
09:12:40:966	0.0
09:12:41:029	0.0
09:12:41:091	0.0
09:12:41:154	0.0
09:12:41:216	0.0
09:12:41:279	0.0
09:12:41:341	0.0
09:12:41:404	0.0
09:12:41:466	0.0
09:12:41:529	0.0
09:12:41:591	0.0
09:12:41:654	0.0
09:12:41:716	0.0
09:12:41:779	0.0
09:12:41:841	0.0
09:12:41:904	0.0
09:12:41:966	0.0
09:12:42:029	0.0
09:12:42:091	0.0
09:12:42:154	0.0
09:12:42:216	0.0
09:12:42:279	0.0
09:12:42:341	0.0
09:12:42:404	0.0
09:12:42:466	0.0
09:12:42:529	0.0
09:12:42:591	0.0
09:12:42:654	0.0
09:12:42:716	0.0
09:12:42:779	0.0
09:12:42:841	0.0
09:12:42:904	0.0
09:12:42:966	0.0
09:12:43:029	0.0
09:12:43:091	0.0
09:12:43:154	0.0
09:12:43:216	0.0
09:12:43:279	0.0
09:12:43:341	0.0
09:12:43:404	0.0
09:12:43:466	0.0
09:12:43:529	0.0
09:12:43:591	0.0
09:12:43:654	0.0
09:12:43:716	0.0
09:12:43:779	0.0
09:12:43:841	0.0
09:12:43:904	0.0
09:12:43:966	0.0
09:12:44:029	0.0
09:12:44:091	0.0
09:12:44:154	0.0
09:12:44:216	0.0
09:12:44:279	0.0
09:12:44:341	0.0
09:12:44:404	0.0
09:12:44:466	0.0
09:12:44:529	0.0
09:12:44:591	0.0
09:12:44:654	0.0
09:12:44:716	0.0
09:12:44:779	0.0
09:12:44:841	0.0
09:12:44:904	0.0
09:12:44:966	0.0
09:12:45:029	0.0
09:12:45:091	0.0
09:12:45:154	0.0
09:12:45:216	0.0
09:12:45:279	0.0
09:12:45:341	0.0
09:12:45:404	0.0
09:12:45:466	0.0
09:12:45:529	0.0
09:12:45:591	0.0
09:12:45:654	0.0
09:12:45:716	0.0
09:12:45:779	0.0
09:12:45:841	0.0
09:12:45:904	0.0
09:12:45:966	0.0
09:12:46:029	0.0
09:12:46:091	0.0
09:12:46:154	0.0
09:12:46:216	0.0
09:12:46:279	0.0
09:12:46:341	0.0
09:12:46:404	0.0
09:12:46:466	0.0
09:12:46:529	0.0
09:12:46:591	0.0
09:12:46:654	0.0
09:12:46:716	0.0
09:12:46:779	0.0
09:12:46:841	0.0
09:12:46:904	0.0
09:12:46:966	0.0
09:12:47:029	0.0
09:12:47:091	0.0
09:12:47:154	0.0
09:12:47:216	0.0
09:12:47:279	0.0
09:12:47:341	0.0
09:12:47:404	0.0
09:12:47:466	0.0
09:12:47:529	0.0
09:12:47:591	0.0
09:12:47:654	0.0
